full_date,date,weekday,time,mood,activities,note_title,note
2023-12-24,24 grudnia,niedziela,21:00,wspaniale,"zmęczenie | zainteresowanie | duma | spełnienie | nostalgia | średni sen | pij wodę | witaminy | domowy | słodycze | bakalie | rodzina | odpocznij | gotowanie | mycie naczyń | brak zajęć | mokro | pielęgnacja skóry | słuchaj | rozmawiaj | więcej czasu z rodziną","",""
2023-12-23,23 grudnia,sobota,20:07,wspaniale,"szczęście | wdzięczność | spełnienie | zazdrość | nostalgia | dobry sen | zdrowe odżywianie się | witaminy | relaks | pianino | domowy | słodycze | bakalie | rodzina | zrób sobie przerwę | praca | gotowanie | brak zajęć | śnieg | zimno | spa | golenie | rozmawiaj | dbaj o zdrowie","",""
2023-12-22,22 grudnia,piątek,20:30,tak sobie,"relaks | niepewność | stres | ulga | nostalgia | dobry sen | spacer | stomatolog | filmy i tv | czytanie | domowy | słodycze | rodzina | przyjaciele | zrób sobie przerwę | gotowanie | mycie naczyń | śmieci | zajęcia | słonecznie | chłodno | mokro | pielęgnacja skóry | więcej czasu z rodziną | dbaj o zdrowie","",""
2023-12-21,21 grudnia,czwartek,13:21,dobrze,"relaks | niepewność | niepokój | słaby sen | zdrowe odżywianie się | stomatolog | filmy i tv | sport | domowy | przyjaciele | wieczór z drugą połówką | odpocznij | sprzątanie | zajęcia | projekt grupowy | pochmurno | deszcz | zimno","",""
2023-12-20,20 grudnia,środa,13:19,dobrze,"wdzięczność | relaks | zadowolenie | stres | desperacja | ulga | średni sen | pij wodę | spacer | fast food | restauracja | przyjaciele | skup się | zajęcia | nauka | pochmurno | deszcz | rozmawiaj | uśmiechaj się","",""
2023-12-19,19 grudnia,wtorek,20:34,tak sobie,"podniecenie | niepokój | stres | słaby sen | zdrowe odżywianie się | pij wodę | filmy i tv | domowy | słodycze | sam | skup się | zajęcia | nauka | pochmurno | deszcz | wiatr","",""
2023-12-18,18 grudnia,poniedziałek,20:03,dobrze,"szczęście | relaks | nuda | ulga | obrzydzenie | dobry sen | średni sen | ćwiczenie | pij wodę | filmy i tv | domowy | dostawa | słodycze | sam | skup się | gotowanie | mycie naczyń | projekt grupowy | pochmurno | chłodno | uprzejmość","",""
2023-12-17,17 grudnia,niedziela,20:00,wspaniale,"relaks | zadowolenie | niepewność | złość | ulga | spełnienie | dobry sen | pij wodę | spacer | filmy i tv | domowy | słodycze | wieczór z drugą połówką | skup się | gotowanie | śmieci | brak zajęć | pochmurno | chłodno | golenie | uśmiechaj się","",""
2023-12-16,16 grudnia,sobota,20:01,dobrze,"szczęście | wdzięczność | relaks | niepewność | dobry sen | zdrowe odżywianie się | spacer | filmy i tv | planszówki | domowy | restauracja | wieczór z drugą połówką | zrób listę | gotowanie | pranie | mycie naczyń | brak zajęć | chłodno | uprzejmość | słuchaj","",""
2023-12-15,15 grudnia,piątek,20:10,źle,"zmęczenie | niepokój | średni sen | ból głowy | filmy i tv | czytanie | domowy | bez mięsa | bez napojów gazowanych | sam | odpocznij | zakupy | mycie naczyń | brak zajęć | deszcz | śnieg | pielęgnacja skóry | pij mniej","",""
2023-12-15,15 grudnia,piątek,04:14,wspaniale,"szczęście | podniecenie | relaks | zadowolenie | spacer | impreza | alkohol | impreza | odpocznij | uśmiechaj się","",""
2023-12-14,14 grudnia,czwartek,20:02,wspaniale,"szczęście | podniecenie | relaks | zadowolenie | dobry sen | impreza | domowy | bez słodyczy | alkohol | przyjaciele | impreza | odpocznij | sprzątanie | gotowanie | mycie naczyń | śmieci | zajęcia | pochmurno | deszcz | wiatr | mokro | uśmiechaj się","",""
2023-12-13,13 grudnia,środa,19:41,dobrze,"wdzięczność | relaks | ulga | dobry sen | filmy i tv | restauracja | alkohol | przyjaciele | wieczór z drugą połówką | odpocznij | sprzątanie | mycie naczyń | egzamin | chłodno | mokro | pielęgnacja skóry | golenie | rozmawiaj","",""
2023-12-12,12 grudnia,wtorek,20:33,dobrze,"relaks | zmęczenie | stres | króki sen | ćwiczenie","",""
2023-12-12,12 grudnia,wtorek,12:29,tak sobie,"zmęczenie | nuda | stres | desperacja | króki sen | ćwiczenie | domowy | bez napojów gazowanych | skup się | nauka | pochmurno | deszcz | podaruj coś","",""
2023-12-11,11 grudnia,poniedziałek,20:01,dobrze,"szczęście | niepewność | niepokój | króki sen | pij wodę | filmy i tv | domowy | skup się | nauka | deszcz | wiatr | masaż","",""
2023-12-10,10 grudnia,niedziela,20:57,dobrze,"podniecenie | wdzięczność | zainteresowanie | spełnienie | dobry sen | witaminy | domowy | bez słodyczy | bez napojów gazowanych | rodzina | wieczór z drugą połówką | skup się | brak zajęć | zimno | masaż | słuchaj","",""
2023-12-09,9 grudnia,sobota,15:38,wspaniale,"szczęście | podniecenie | relaks | nuda | ulga | nostalgia | dobry sen | zdrowe odżywianie się | witaminy | czytanie | domowy | słodycze | rodzina | zrób listę | brak zajęć | zimno | pielęgnacja skóry | więcej czasu z rodziną","",""
2023-12-08,8 grudnia,piątek,16:01,dobrze,"relaks | zmęczenie | niepokój | nostalgia | króki sen | pij wodę | witaminy | domowy | słodycze | rodzina | zrób sobie przerwę | sprzątanie | gotowanie | mycie naczyń | śmieci | brak zajęć | pochmurno | zimno | pielęgnacja skóry | pij mniej","",""
2023-12-07,7 grudnia,czwartek,18:06,wspaniale,"relaks | spełnienie | euforia | zazdrość | średni sen | ćwiczenie | impreza | restauracja | alkohol | przyjaciele | impreza | zrób sobie przerwę | mycie naczyń | zajęcia | nauka | projekt grupowy | chłodno | golenie | uprzejmość | podaruj coś | rozmawiaj","",""
